iter	Logloss
0	0.6893599053
1	0.6857011939
2	0.6819833707
3	0.6781914975
4	0.6743856478
5	0.6707629036
6	0.6674128941
7	0.6641212912
8	0.6605945235
9	0.6573468377
10	0.6538528314
11	0.650553535
12	0.6471387078
13	0.6443804573
14	0.6413430607
15	0.6380978753
16	0.6353090431
17	0.6324742421
18	0.6298783246
19	0.6274287761
20	0.624581922
21	0.6219375995
22	0.6194474677
23	0.6168882226
24	0.6140409838
25	0.6115190522
26	0.608497235
27	0.6059894722
28	0.6034972888
29	0.6011642328
30	0.5988604121
31	0.596346174
32	0.5938968178
33	0.5919395896
34	0.5897780987
35	0.587170641
36	0.5849050313
37	0.5827837391
38	0.58095698
39	0.5790442459
40	0.5767946644
41	0.5750977332
42	0.5733120061
43	0.5711398085
44	0.56914937
45	0.5674955224
46	0.56567947
47	0.5640290845
48	0.5622311119
49	0.5607649218
50	0.5592384018
51	0.5571402542
52	0.5553433715
53	0.5532958728
54	0.5515441253
55	0.5499876006
56	0.5482711151
57	0.5467290798
58	0.545189609
59	0.5436499459
60	0.5420000733
61	0.5404552812
62	0.5389462639
63	0.5372478902
64	0.5357573052
65	0.5341839189
66	0.5328783949
67	0.5314127177
68	0.5302727964
69	0.5289868587
70	0.5278484441
71	0.526364046
72	0.5246992993
73	0.5233921083
74	0.5223975302
75	0.5211411164
76	0.519483422
77	0.5182346055
78	0.5168983395
79	0.5156419257
80	0.5143392867
81	0.5129186165
82	0.5115957821
83	0.5105246536
84	0.5093551123
85	0.5079937462
86	0.5066132425
87	0.5056325448
88	0.5041988597
89	0.5033755903
90	0.5023413265
91	0.5012835975
92	0.5003167802
93	0.4989309872
94	0.4978088251
95	0.4967743048
96	0.4956950661
97	0.4946889797
98	0.4938117917
99	0.492974674
100	0.4918118325
101	0.4907190659
102	0.4898499561
103	0.4888339003
104	0.4880053416
105	0.487196722
106	0.4860726365
107	0.4853050168
108	0.4843756411
109	0.483215877
110	0.4823952683
111	0.4816323288
112	0.480741036
113	0.4797002648
114	0.4791933589
115	0.4785570417
116	0.4777044408
117	0.4769130995
118	0.4761917371
119	0.4757431094
120	0.4750554702
121	0.4742393814
122	0.4732981129
123	0.4727635424
124	0.4718672488
125	0.471118382
126	0.4703347983
127	0.4696951153
128	0.4691358294
129	0.4683140987
130	0.4673196168
131	0.4664251504
132	0.4656511195
133	0.4650687851
134	0.4642858425
135	0.4631371057
136	0.4626512287
137	0.4618164832
138	0.4611234905
139	0.4604408841
140	0.4596956718
141	0.4593322177
142	0.4583989632
143	0.4577337313
144	0.4572315697
145	0.4565147272
