iter	Passed	Remaining
0	284	284688
1	292	146039
2	301	100287
3	307	76612
4	313	62389
5	324	53764
6	335	47586
7	354	43939
8	360	39710
9	371	36768
10	378	34016
11	387	31889
12	392	29796
13	394	27810
14	404	26561
15	411	25279
16	420	24304
17	425	23220
18	431	22287
19	433	21256
20	438	20455
21	447	19872
22	452	19207
23	457	18591
24	465	18144
25	470	17644
26	476	17159
27	482	16740
28	488	16349
29	496	16056
30	506	15819
31	515	15603
32	521	15275
33	528	15003
34	534	14743
35	543	14549
36	548	14284
37	553	14021
38	560	13806
39	565	13575
40	574	13446
41	578	13193
42	581	12949
43	586	12752
44	592	12577
45	597	12390
46	606	12299
47	610	12103
48	615	11941
49	621	11802
50	624	11627
51	629	11484
52	638	11407
53	645	11302
54	652	11218
55	656	11072
56	662	10953
57	670	10885
58	676	10794
59	685	10746
60	693	10670
61	702	10621
62	708	10539
63	717	10491
64	724	10415
65	732	10371
66	738	10286
67	743	10196
68	749	10111
69	755	10030
70	758	9927
71	766	9876
72	774	9829
73	786	9842
74	791	9757
75	800	9734
76	807	9679
77	818	9671
78	825	9625
79	839	9654
80	851	9664
81	857	9599
82	865	9564
83	876	9556
84	884	9525
85	897	9534
86	908	9529
87	913	9470
88	926	9487
89	932	9433
90	945	9446
91	956	9444
92	974	9506
93	981	9458
94	992	9450
95	998	9402
96	1008	9384
97	1014	9338
98	1023	9313
99	1028	9256
100	1037	9238
101	1044	9199
102	1055	9193
103	1066	9190
104	1082	9224
105	1090	9200
106	1102	9201
107	1108	9152
108	1117	9132
109	1125	9108
110	1139	9129
111	1153	9145
112	1162	9123
113	1169	9089
114	1172	9026
115	1181	9005
116	1187	8959
117	1192	8912
118	1200	8890
119	1203	8825
120	1208	8779
121	1218	8769
122	1224	8731
123	1233	8712
124	1238	8670
125	1250	8671
126	1255	8630
127	1263	8609
128	1268	8567
129	1280	8567
130	1286	8530
131	1295	8518
132	1301	8485
133	1310	8471
134	1317	8441
135	1326	8429
136	1335	8409
137	1343	8391
138	1349	8360
139	1357	8339
140	1363	8303
141	1366	8253
142	1374	8237
143	1381	8214
144	1387	8178
145	1393	8153
146	1400	8127
147	1405	8090
148	1410	8056
